country,year,indicator,sales_value,gdp,gdp_unit,sector_type
DK,2019,G47_NF_HLTH,73.03333333333333,284554.9,CLV10_MEUR,Essential retail
DK,2020,G47,69.63333333333334,279489.5,CLV10_MEUR,Total retail
DK,2020,G476,56.375,279489.5,CLV10_MEUR,Discretionary
DK,2020,G47_NF_HLTH,72.98333333333333,279489.5,CLV10_MEUR,Essential retail
DK,2021,G47,72.03333333333333,297657.1,CLV10_MEUR,Total retail
DK,2021,G476,100.0,297657.1,CLV10_MEUR,Discretionary
DK,2021,G47_NF_HLTH,77.31666666666666,297657.1,CLV10_MEUR,Essential retail
DK,2022,G47,83.88,298978.2,CLV10_MEUR,Total retail
DK,2022,G476,95.55,298978.2,CLV10_MEUR,Discretionary
DK,2022,G47_NF_HLTH,82.38333333333333,298978.2,CLV10_MEUR,Essential retail
DK,2023,G47,84.9,300785.8,CLV10_MEUR,Total retail
DK,2023,G476,50.425,300785.8,CLV10_MEUR,Discretionary
DK,2024,G47,50.75,311246.6,CLV10_MEUR,Total retail
DK,2024,G476,64.86666666666666,311246.6,CLV10_MEUR,Discretionary
DK,2025,G47,54.175,320361.2,CLV10_MEUR,Total retail
DK,2025,G476,55.175,320361.2,CLV10_MEUR,Discretionary
EE,2016,G47,80.3875,18153.0,CLV10_MEUR,Total retail
EE,2016,G47_NF_HLTH,95.9,18153.0,CLV10_MEUR,Essential retail
EE,2017,G47,83.525,19175.9,CLV10_MEUR,Total retail
EE,2017,G47_NF_HLTH,108.66,19175.9,CLV10_MEUR,Essential retail
EE,2018,G47,65.3,19885.4,CLV10_MEUR,Total retail
EE,2018,G47_NF_HLTH,74.2,19885.4,CLV10_MEUR,Essential retail
EE,2019,G47,69.21666666666667,20626.4,CLV10_MEUR,Total retail
EE,2019,G47_NF_HLTH,72.2,20626.4,CLV10_MEUR,Essential retail
EE,2020,G47,70.7,20031.6,CLV10_MEUR,Total retail
EE,2020,G47_NF_HLTH,76.025,20031.6,CLV10_MEUR,Essential retail
EE,2021,G47,83.93333333333334,21685.2,CLV10_MEUR,Total retail
EE,2022,G47,90.91666666666669,21419.3,CLV10_MEUR,Total retail
EE,2023,G47,126.1,20831.5,CLV10_MEUR,Total retail
EE,2024,G47,103.6,20812.7,CLV10_MEUR,Total retail
EE,2025,G47,55.325,20934.3,CLV10_MEUR,Total retail
EL,2016,G47,86.55,181479.1,CLV10_MEUR,Total retail
EL,2016,G47_NF_HLTH,77.41666666666667,181479.1,CLV10_MEUR,Essential retail
EL,2017,G47,66.2375,184152.5,CLV10_MEUR,Total retail
EL,2017,G47_NF_HLTH,66.87142857142858,184152.5,CLV10_MEUR,Essential retail
EL,2018,G47,65.5,187954.7,CLV10_MEUR,Total retail
EL,2018,G47_NF_HLTH,84.025,187954.7,CLV10_MEUR,Essential retail
EL,2019,G47,65.95,192234.8,CLV10_MEUR,Total retail
EL,2019,G47_NF_HLTH,57.2,192234.8,CLV10_MEUR,Essential retail
EL,2020,G47,94.45,174556.4,CLV10_MEUR,Total retail
EL,2020,G47_NF_HLTH,72.43333333333334,174556.4,CLV10_MEUR,Essential retail
EL,2021,G47,73.53333333333333,189663.4,CLV10_MEUR,Total retail
EL,2021,G47_NF_HLTH,86.08333333333333,189663.4,CLV10_MEUR,Essential retail
EL,2022,G47,77.98333333333333,200136.6,CLV10_MEUR,Total retail
EL,2022,G47_NF_HLTH,90.76666666666668,200136.6,CLV10_MEUR,Essential retail
EL,2023,G47,73.3,204411.3,CLV10_MEUR,Total retail
EL,2023,G47_NF_HLTH,74.36666666666667,204411.3,CLV10_MEUR,Essential retail
EL,2024,G47,72.73333333333333,208676.5,CLV10_MEUR,Total retail
EL,2024,G47_NF_HLTH,60.975,208676.5,CLV10_MEUR,Essential retail
EL,2025,G47,56.95,213002.5,CLV10_MEUR,Total retail
EL,2025,G47_NF_HLTH,67.55,213002.5,CLV10_MEUR,Essential retail
ES,2016,G47,73.05,1114136.4,CLV10_MEUR,Total retail
ES,2016,G47_NF_HLTH,73.3625,1114136.4,CLV10_MEUR,Essential retail
ES,2017,G47,74.475,1146402.2,CLV10_MEUR,Total retail
ES,2017,G47_NF_HLTH,73.825,1146402.2,CLV10_MEUR,Essential retail
ES,2018,G47,69.03333333333333,1173863.3,CLV10_MEUR,Total retail
ES,2018,G47_NF_HLTH,68.6,1173863.3,CLV10_MEUR,Essential retail
ES,2019,G47,70.93333333333332,1196884.8,CLV10_MEUR,Total retail
ES,2019,G47_NF_HLTH,69.63333333333334,1196884.8,CLV10_MEUR,Essential retail
ES,2020,G47,97.825,1065944.8,CLV10_MEUR,Total retail
ES,2020,G47_NF_HLTH,101.675,1065944.8,CLV10_MEUR,Essential retail
ES,2021,G47,71.36666666666666,1137183.4,CLV10_MEUR,Total retail
ES,2021,G476,100.0,1137183.4,CLV10_MEUR,Discretionary
ES,2021,G47_NF_HLTH,71.28333333333333,1137183.4,CLV10_MEUR,Essential retail
ES,2022,G47,76.51666666666667,1209625.6,CLV10_MEUR,Total retail
ES,2022,G476,57.8,1209625.6,CLV10_MEUR,Discretionary
ES,2022,G47_NF_HLTH,77.08333333333333,1209625.6,CLV10_MEUR,Essential retail
ES,2023,G47,81.66666666666667,1239392.8,CLV10_MEUR,Total retail
ES,2023,G476,68.9,1239392.8,CLV10_MEUR,Discretionary
ES,2023,G47_NF_HLTH,91.18,1239392.8,CLV10_MEUR,Essential retail
ES,2024,G47,59.825,1282216.9,CLV10_MEUR,Total retail
ES,2024,G476,120.85,1282216.9,CLV10_MEUR,Discretionary
ES,2025,G47,63.575,1318439.0,CLV10_MEUR,Total retail
ES,2025,G476,61.75,1318439.0,CLV10_MEUR,Discretionary
FI,2016,G47,83.58571428571429,192657.0,CLV10_MEUR,Total retail
FI,2016,G476,41.95,192657.0,CLV10_MEUR,Discretionary
FI,2016,G47_NF_HLTH,77.2625,192657.0,CLV10_MEUR,Essential retail
FI,2017,G47,75.7,199021.1,CLV10_MEUR,Total retail
FI,2017,G476,41.25,199021.1,CLV10_MEUR,Discretionary
FI,2017,G47_NF_HLTH,72.28571428571429,199021.1,CLV10_MEUR,Essential retail
FI,2018,G47,66.18333333333334,201395.4,CLV10_MEUR,Total retail
FI,2018,G476,45.375,201395.4,CLV10_MEUR,Discretionary
FI,2018,G47_NF_HLTH,69.5,201395.4,CLV10_MEUR,Essential retail
FI,2019,G47,67.68333333333334,204113.7,CLV10_MEUR,Total retail
FI,2019,G476,44.55,204113.7,CLV10_MEUR,Discretionary
FI,2019,G47_NF_HLTH,73.53333333333333,204113.7,CLV10_MEUR,Essential retail
FI,2020,G47,70.93333333333332,199029.2,CLV10_MEUR,Total retail
FI,2020,G476,47.025,199029.2,CLV10_MEUR,Discretionary
FI,2020,G47_NF_HLTH,75.56666666666666,199029.2,CLV10_MEUR,Essential retail
FI,2021,G47,74.05,204355.9,CLV10_MEUR,Total retail
FI,2021,G476,55.25,204355.9,CLV10_MEUR,Discretionary
FI,2021,G47_NF_HLTH,78.33333333333333,204355.9,CLV10_MEUR,Essential retail
FI,2022,G47,87.72,205915.2,CLV10_MEUR,Total retail
FI,2022,G476,96.55,205915.2,CLV10_MEUR,Discretionary
FI,2022,G47_NF_HLTH,82.36666666666666,205915.2,CLV10_MEUR,Essential retail
FI,2023,G47,86.9,203259.5,CLV10_MEUR,Total retail
FI,2023,G476,90.15,203259.5,CLV10_MEUR,Discretionary
FI,2023,G47_NF_HLTH,84.0,203259.5,CLV10_MEUR,Essential retail
FI,2024,G47,98.65,204020.8,CLV10_MEUR,Total retail
FI,2024,G476,85.65,204020.8,CLV10_MEUR,Discretionary
FI,2025,G47,66.60000000000001,204374.7,CLV10_MEUR,Total retail
FI,2025,G476,82.95,204374.7,CLV10_MEUR,Discretionary
FR,2016,G47,76.275,2125471.2,CLV10_MEUR,Total retail
FR,2016,G476,64.08333333333333,2125471.2,CLV10_MEUR,Discretionary
FR,2016,G47_NF_HLTH,76.10000000000001,2125471.2,CLV10_MEUR,Essential retail
FR,2017,G47,79.65,2169757.8,CLV10_MEUR,Total retail
FR,2017,G476,67.15,2169757.8,CLV10_MEUR,Discretionary
FR,2017,G47_NF_HLTH,78.6625,2169757.8,CLV10_MEUR,Essential retail
FR,2018,G47,68.2,2205470.1,CLV10_MEUR,Total retail
FR,2018,G476,66.26666666666667,2205470.1,CLV10_MEUR,Discretionary
FR,2018,G47_NF_HLTH,67.01666666666667,2205470.1,CLV10_MEUR,Essential retail
FR,2019,G47,69.76666666666667,2250184.8,CLV10_MEUR,Total retail
FR,2019,G476,70.60000000000001,2250184.8,CLV10_MEUR,Discretionary
FR,2019,G47_NF_HLTH,69.8,2250184.8,CLV10_MEUR,Essential retail
FR,2020,G47,100.55,2082756.5,CLV10_MEUR,Total retail
FR,2020,G476,94.975,2082756.5,CLV10_MEUR,Discretionary
FR,2020,G47_NF_HLTH,70.46666666666667,2082756.5,CLV10_MEUR,Essential retail
FR,2021,G47,77.5,2226098.8,CLV10_MEUR,Total retail
FR,2021,G476,77.71666666666667,2226098.8,CLV10_MEUR,Discretionary
FR,2021,G47_NF_HLTH,80.63333333333334,2226098.8,CLV10_MEUR,Essential retail
FR,2022,G47,80.75,2286576.7,CLV10_MEUR,Total retail
FR,2022,G476,81.63333333333334,2286576.7,CLV10_MEUR,Discretionary
FR,2023,G47,96.28,2319485.4,CLV10_MEUR,Total retail
FR,2023,G476,57.25,2319485.4,CLV10_MEUR,Discretionary
FR,2024,G47,55.75,2347098.1,CLV10_MEUR,Total retail
FR,2024,G476,75.0,2347098.1,CLV10_MEUR,Discretionary
FR,2025,G47,57.55,2366836.1,CLV10_MEUR,Total retail
FR,2025,G476,57.275000000000006,2366836.1,CLV10_MEUR,Discretionary
HR,2016,G47,71.925,47211.3,CLV10_MEUR,Total retail
HR,2016,G47_NF_HLTH,60.7,47211.3,CLV10_MEUR,Essential retail
HR,2017,G47,76.0875,48761.7,CLV10_MEUR,Total retail
HR,2017,G47_NF_HLTH,64.88333333333334,48761.7,CLV10_MEUR,Essential retail
HR,2018,G47,68.55,50181.1,CLV10_MEUR,Total retail
HR,2018,G47_NF_HLTH,67.86666666666666,50181.1,CLV10_MEUR,Essential retail
HR,2019,G47,70.98333333333333,51737.5,CLV10_MEUR,Total retail
HR,2019,G47_NF_HLTH,75.18333333333334,51737.5,CLV10_MEUR,Essential retail
HR,2020,G47,99.375,47437.7,CLV10_MEUR,Total retail
HR,2020,G47_NF_HLTH,77.85000000000001,47437.7,CLV10_MEUR,Essential retail
HR,2021,G47,79.15,53430.1,CLV10_MEUR,Total retail
HR,2021,G47_NF_HLTH,82.48333333333333,53430.1,CLV10_MEUR,Essential retail
HR,2022,G47,83.45,57327.6,CLV10_MEUR,Total retail
HR,2022,G47_NF_HLTH,87.08333333333333,57327.6,CLV10_MEUR,Essential retail
HR,2023,G47,87.48333333333333,59484.0,CLV10_MEUR,Total retail
