country,year,gdp_per_capita,unit
ES,2024,1282216.9,CLV10_MEUR
ES,2025,1318439.0,CLV10_MEUR
EU27_2020,2016,11835289.3,CLV10_MEUR
EU27_2020,2017,12168293.7,CLV10_MEUR
EU27_2020,2018,12417209.6,CLV10_MEUR
EU27_2020,2019,12650096.3,CLV10_MEUR
EU27_2020,2020,11946516.8,CLV10_MEUR
EU27_2020,2021,12705283.2,CLV10_MEUR
EU27_2020,2022,13156106.2,CLV10_MEUR
EU27_2020,2023,13211641.0,CLV10_MEUR
EU27_2020,2024,13355084.9,CLV10_MEUR
EU27_2020,2025,13561036.5,CLV10_MEUR
FI,2016,192657.0,CLV10_MEUR
FI,2017,199021.1,CLV10_MEUR
FI,2018,201395.4,CLV10_MEUR
FI,2019,204113.7,CLV10_MEUR
FI,2020,199029.2,CLV10_MEUR
FI,2021,204355.9,CLV10_MEUR
FI,2022,205915.2,CLV10_MEUR
FI,2023,203259.5,CLV10_MEUR
FI,2024,204020.8,CLV10_MEUR
FI,2025,204374.7,CLV10_MEUR
FR,2016,2125471.2,CLV10_MEUR
FR,2017,2169757.8,CLV10_MEUR
FR,2018,2205470.1,CLV10_MEUR
FR,2019,2250184.8,CLV10_MEUR
FR,2020,2082756.5,CLV10_MEUR
FR,2021,2226098.8,CLV10_MEUR
FR,2022,2286576.7,CLV10_MEUR
FR,2023,2319485.4,CLV10_MEUR
FR,2024,2347098.1,CLV10_MEUR
FR,2025,2366836.1,CLV10_MEUR
HR,2016,47211.3,CLV10_MEUR
HR,2017,48761.7,CLV10_MEUR
HR,2018,50181.1,CLV10_MEUR
HR,2019,51737.5,CLV10_MEUR
HR,2020,47437.7,CLV10_MEUR
HR,2021,53430.1,CLV10_MEUR
HR,2022,57327.6,CLV10_MEUR
HR,2023,59484.0,CLV10_MEUR
HR,2024,61760.4,CLV10_MEUR
HR,2025,63861.9,CLV10_MEUR
HU,2016,113168.3,CLV10_MEUR
HU,2017,117835.6,CLV10_MEUR
HU,2018,124441.6,CLV10_MEUR
HU,2019,130759.7,CLV10_MEUR
HU,2020,125086.4,CLV10_MEUR
HU,2021,134121.3,CLV10_MEUR
HU,2022,139690.5,CLV10_MEUR
HU,2023,138549.1,CLV10_MEUR
HU,2024,139531.5,CLV10_MEUR
HU,2025,140242.5,CLV10_MEUR
IE,2016,238676.5,CLV10_MEUR
IE,2017,262804.0,CLV10_MEUR
IE,2018,283010.1,CLV10_MEUR
IE,2019,297083.9,CLV10_MEUR
IE,2020,318336.3,CLV10_MEUR
IE,2021,370092.1,CLV10_MEUR
IE,2022,397890.2,CLV10_MEUR
IE,2023,387798.2,CLV10_MEUR
IE,2024,397878.9,CLV10_MEUR
IE,2025,446967.6,CLV10_MEUR
IS,2016,12547.8,CLV10_MEUR
IS,2017,12985.1,CLV10_MEUR
IS,2018,13590.4,CLV10_MEUR
IS,2019,13745.0,CLV10_MEUR
IS,2020,12831.6,CLV10_MEUR
IS,2021,13496.3,CLV10_MEUR
IS,2022,14691.7,CLV10_MEUR
IS,2023,15431.0,CLV10_MEUR
IS,2024,15233.1,CLV10_MEUR
IS,2025,15428.0,CLV10_MEUR
IT,2016,1582615.3,CLV10_MEUR
IT,2017,1607995.7,CLV10_MEUR
IT,2018,1621288.1,CLV10_MEUR
IT,2019,1628246.1,CLV10_MEUR
IT,2020,1483849.6,CLV10_MEUR
IT,2021,1616373.2,CLV10_MEUR
IT,2022,1694301.4,CLV10_MEUR
IT,2023,1709936.3,CLV10_MEUR
IT,2024,1723325.8,CLV10_MEUR
IT,2025,1732624.6,CLV10_MEUR
LI,2016,5637.7,CP_MEUR
LI,2017,5734.6,CP_MEUR
LI,2018,5666.3,CP_MEUR
LI,2019,5750.1,CP_MEUR
LI,2020,5618.0,CP_MEUR
LI,2021,6688.5,CP_MEUR
LI,2022,7058.2,CP_MEUR
LI,2023,7617.8,CP_MEUR
LI,2024,8231.2,CP_MEUR
LT,2016,34999.4,CLV10_MEUR
LT,2017,36613.6,CLV10_MEUR
LT,2018,38414.4,CLV10_MEUR
LT,2019,40211.2,CLV10_MEUR
LT,2020,40228.4,CLV10_MEUR
LT,2021,42801.0,CLV10_MEUR
LT,2022,43856.1,CLV10_MEUR
LT,2023,44180.5,CLV10_MEUR
LT,2024,45519.2,CLV10_MEUR
LT,2025,46848.4,CLV10_MEUR
LU,2016,49506.0,CLV10_MEUR
LU,2017,50158.0,CLV10_MEUR
LU,2018,50966.2,CLV10_MEUR
LU,2019,52367.4,CLV10_MEUR
LU,2020,52100.3,CLV10_MEUR
LU,2021,55710.8,CLV10_MEUR
LU,2022,55099.4,CLV10_MEUR
LU,2023,55154.2,CLV10_MEUR
LU,2024,55352.0,CLV10_MEUR
LU,2025,55705.0,CLV10_MEUR
LV,2016,21553.7,CLV10_MEUR
LV,2017,22286.3,CLV10_MEUR
LV,2018,23246.8,CLV10_MEUR
LV,2019,23403.8,CLV10_MEUR
LV,2020,22591.9,CLV10_MEUR
LV,2021,24160.3,CLV10_MEUR
LV,2022,24621.4,CLV10_MEUR
LV,2023,24389.6,CLV10_MEUR
LV,2024,24380.5,CLV10_MEUR
LV,2025,24901.8,CLV10_MEUR
MD,2016,7210.8,CP_MEUR
MD,2017,8450.3,CP_MEUR
MD,2018,9526.5,CP_MEUR
MD,2019,10484.4,CP_MEUR
MD,2020,10112.5,CP_MEUR
MD,2021,11570.8,CP_MEUR
MD,2022,13793.6,CP_MEUR
MD,2023,15453.5,CP_MEUR
MD,2024,16824.8,CP_MEUR
MD,2025,18045.0,CP_MEUR
ME,2016,3531.8,CLV10_MEUR
ME,2017,3645.4,CLV10_MEUR
ME,2018,3817.9,CLV10_MEUR
ME,2019,3985.7,CLV10_MEUR
ME,2020,3388.1,CLV10_MEUR
ME,2021,3830.1,CLV10_MEUR
ME,2022,4126.6,CLV10_MEUR
ME,2023,4393.9,CLV10_MEUR
ME,2024,4532.9,CLV10_MEUR
ME,2025,4657.4,CLV10_MEUR
MK,2016,8250.0,CLV10_MEUR
MK,2017,8339.3,CLV10_MEUR
MK,2018,8579.5,CLV10_MEUR
MK,2019,8915.0,CLV10_MEUR
MK,2020,8497.0,CLV10_MEUR
MK,2021,8880.3,CLV10_MEUR
MK,2022,9125.3,CLV10_MEUR
MK,2023,9358.4,CLV10_MEUR
MK,2024,9638.6,CLV10_MEUR
MK,2025,9974.7,CLV10_MEUR
MT,2016,9416.5,CLV10_MEUR
MT,2017,10637.9,CLV10_MEUR
MT,2018,11402.7,CLV10_MEUR
MT,2019,11868.5,CLV10_MEUR
MT,2020,11458.2,CLV10_MEUR
MT,2021,12987.9,CLV10_MEUR
MT,2022,13324.7,CLV10_MEUR
MT,2023,14741.6,CLV10_MEUR
MT,2024,15657.5,CLV10_MEUR
MT,2025,16277.8,CLV10_MEUR
NL,2016,688532.8,CLV10_MEUR
NL,2017,707684.4,CLV10_MEUR
NL,2018,723669.1,CLV10_MEUR
NL,2019,740314.7,CLV10_MEUR
NL,2020,711679.3,CLV10_MEUR
NL,2021,756350.3,CLV10_MEUR
NL,2022,794222.5,CLV10_MEUR
NL,2023,789472.6,CLV10_MEUR
NL,2024,797950.2,CLV10_MEUR
NL,2025,812190.6,CLV10_MEUR
NO,2016,370275.6,CLV10_MEUR
NO,2017,380160.7,CLV10_MEUR
NO,2018,384381.9,CLV10_MEUR
NO,2019,390031.3,CLV10_MEUR
NO,2020,384724.6,CLV10_MEUR
NO,2021,400664.4,CLV10_MEUR
NO,2022,417013.1,CLV10_MEUR
NO,2023,418483.8,CLV10_MEUR
NO,2024,424441.9,CLV10_MEUR
NO,2025,429048.3,CLV10_MEUR
PL,2016,434111.0,CLV10_MEUR
PL,2017,456478.4,CLV10_MEUR
PL,2018,484989.4,CLV10_MEUR
PL,2019,507204.1,CLV10_MEUR
PL,2020,496879.7,CLV10_MEUR
PL,2021,531299.4,CLV10_MEUR
PL,2022,559221.6,CLV10_MEUR
PL,2023,560617.5,CLV10_MEUR
PL,2024,578830.3,CLV10_MEUR
PL,2025,599853.0,CLV10_MEUR
PT,2016,175327.8,CLV10_MEUR
PT,2017,181139.4,CLV10_MEUR
PT,2018,186476.3,CLV10_MEUR
PT,2019,191596.4,CLV10_MEUR
PT,2020,175876.6,CLV10_MEUR
PT,2021,185653.2,CLV10_MEUR
PT,2022,198622.6,CLV10_MEUR
PT,2023,204779.9,CLV10_MEUR
PT,2024,209314.9,CLV10_MEUR
PT,2025,213217.5,CLV10_MEUR
RO,2016,151357.4,CLV10_MEUR
RO,2017,163761.8,CLV10_MEUR
RO,2018,172596.0,CLV10_MEUR
RO,2019,179431.3,CLV10_MEUR
RO,2020,172975.3,CLV10_MEUR
RO,2021,182640.1,CLV10_MEUR
RO,2022,190288.5,CLV10_MEUR
RO,2023,194584.7,CLV10_MEUR
RO,2024,196367.1,CLV10_MEUR
RO,2025,197698.1,CLV10_MEUR
RS,2016,33658.5,CLV10_MEUR
RS,2017,34454.0,CLV10_MEUR
RS,2018,36055.9,CLV10_MEUR
RS,2019,37768.6,CLV10_MEUR
RS,2020,37409.8,CLV10_MEUR
RS,2021,40383.5,CLV10_MEUR
RS,2022,41475.3,CLV10_MEUR
RS,2023,43029.8,CLV10_MEUR
RS,2024,44729.4,CLV10_MEUR
RS,2025,45637.6,CLV10_MEUR
SE,2016,421981.0,CLV10_MEUR
SE,2017,429926.2,CLV10_MEUR
SE,2018,437536.9,CLV10_MEUR
SE,2019,448948.9,CLV10_MEUR
SE,2020,440267.2,CLV10_MEUR
SE,2021,463274.9,CLV10_MEUR
SE,2022,469091.0,CLV10_MEUR
SE,2023,468133.8,CLV10_MEUR
SE,2024,472898.5,CLV10_MEUR
SE,2025,480196.0,CLV10_MEUR
SI,2016,37879.1,CLV10_MEUR
SI,2017,39839.1,CLV10_MEUR
SI,2018,41583.7,CLV10_MEUR
SI,2019,43041.3,CLV10_MEUR
SI,2020,41283.0,CLV10_MEUR
SI,2021,44757.8,CLV10_MEUR
SI,2022,45952.1,CLV10_MEUR
SI,2023,47043.9,CLV10_MEUR
SI,2024,47858.4,CLV10_MEUR
SI,2025,48365.7,CLV10_MEUR
SK,2016,79400.3,CLV10_MEUR
SK,2017,81682.8,CLV10_MEUR
SK,2018,85000.9,CLV10_MEUR
SK,2019,86935.4,CLV10_MEUR
SK,2020,84687.7,CLV10_MEUR
SK,2021,89477.5,CLV10_MEUR
SK,2022,89964.8,CLV10_MEUR
SK,2023,91865.4,CLV10_MEUR
SK,2024,93646.4,CLV10_MEUR
SK,2025,94402.5,CLV10_MEUR
TR,2016,850000.6,CLV10_MEUR
TR,2017,916520.5,CLV10_MEUR
TR,2018,948306.8,CLV10_MEUR
TR,2019,960650.2,CLV10_MEUR
TR,2020,977971.3,CLV10_MEUR
TR,2021,1093480.4,CLV10_MEUR
TR,2022,1152979.2,CLV10_MEUR
TR,2023,1211148.4,CLV10_MEUR
TR,2024,1251450.8,CLV10_MEUR
TR,2025,1296560.9,CLV10_MEUR
UA,2016,93359.7,CLV10_MEUR
UA,2017,95563.0,CLV10_MEUR
UA,2018,98896.6,CLV10_MEUR
UA,2019,102060.8,CLV10_MEUR
UA,2020,98230.6,CLV10_MEUR
UA,2021,101615.3,CLV10_MEUR
UA,2022,72392.2,CLV10_MEUR
UA,2023,76398.9,CLV10_MEUR
UA,2024,78880.4,CLV10_MEUR
UK,2016,2104891.5,CLV10_MEUR
UK,2017,2141523.2,CLV10_MEUR
UK,2018,2168347.7,CLV10_MEUR
UK,2019,2198071.7,CLV10_MEUR
XK,2016,5306.5,CLV10_MEUR
XK,2017,5562.6,CLV10_MEUR
XK,2018,5752.1,CLV10_MEUR
XK,2019,6025.7,CLV10_MEUR
XK,2020,5703.9,CLV10_MEUR
XK,2021,6316.9,CLV10_MEUR
XK,2022,6587.2,CLV10_MEUR
XK,2023,6855.2,CLV10_MEUR
XK,2024,7168.7,CLV10_MEUR
XK,2025,7428.0,CLV10_MEUR
